Cause,time,est,Risk,LiverRx,estRx,Stage,Age
Decompensation,0,0,Base case,0,0,F2,45
Decompensation,0.4,0.09999999999999996,Base case,0,0.09999999999999996,F2,45
Decompensation,0.8,0.16999999999999987,Base case,0,0.16999999999999987,F2,45
Decompensation,1.2,0.18999999999999984,Base case,0,0.18999999999999984,F2,45
Decompensation,1.6,0.2299999999999998,Base case,0,0.2299999999999998,F2,45
Decompensation,2,0.3499999999999996,Base case,0,0.3499999999999996,F2,45
Decompensation,2.4,0.43999999999999934,Base case,0,0.43999999999999934,F2,45
Decompensation,2.8,0.5299999999999989,Base case,0,0.5299999999999989,F2,45
Decompensation,3.2,0.5699999999999986,Base case,0,0.5699999999999986,F2,45
Decompensation,3.6,0.689999999999998,Base case,0,0.689999999999998,F2,45
Decompensation,4,0.7499999999999976,Base case,0,0.7499999999999976,F2,45
Decompensation,4.4,0.7699999999999975,Base case,0,0.7699999999999975,F2,45
Decompensation,4.8,0.8299999999999971,Base case,0,0.8299999999999971,F2,45
Decompensation,5.2,0.9299999999999965,Base case,0,0.9299999999999965,F2,45
Decompensation,5.6,0.999999999999996,Base case,0,0.999999999999996,F2,45
Decompensation,6,1.1099999999999954,Base case,0,1.1099999999999954,F2,45
Decompensation,6.4,1.2099999999999949,Base case,0,1.2099999999999949,F2,45
Decompensation,6.8,1.2399999999999947,Base case,0,1.2399999999999947,F2,45
Decompensation,7.2,1.329999999999994,Base case,0,1.329999999999994,F2,45
Decompensation,7.6,1.4299999999999935,Base case,0,1.4299999999999935,F2,45
Decompensation,8,1.479999999999993,Base case,0,1.479999999999993,F2,45
Decompensation,8.4,1.509999999999993,Base case,0,1.509999999999993,F2,45
Decompensation,8.8,1.6399999999999921,Base case,0,1.6399999999999921,F2,45
Decompensation,9.2,1.7999999999999912,Base case,0,1.7999999999999912,F2,45
Decompensation,9.6,1.8699999999999908,Base case,0,1.8699999999999908,F2,45
Decompensation,10,1.9599999999999902,Base case,0,1.9599999999999902,F2,45
HCC,0,0,Base case,0,0,F2,45
HCC,0.4,0.06999999999999998,Base case,0,0.06999999999999998,F2,45
HCC,0.8,0.10999999999999995,Base case,0,0.10999999999999995,F2,45
HCC,1.2,0.1399999999999999,Base case,0,0.1399999999999999,F2,45
HCC,1.6,0.1899999999999998,Base case,0,0.1899999999999998,F2,45
HCC,2,0.21999999999999975,Base case,0,0.21999999999999975,F2,45
HCC,2.4,0.2699999999999997,Base case,0,0.2699999999999997,F2,45
HCC,2.8,0.27999999999999964,Base case,0,0.27999999999999964,F2,45
HCC,3.2,0.28999999999999965,Base case,0,0.28999999999999965,F2,45
HCC,3.6,0.31999999999999956,Base case,0,0.31999999999999956,F2,45
HCC,4,0.32999999999999957,Base case,0,0.32999999999999957,F2,45
HCC,4.4,0.3399999999999995,Base case,0,0.3399999999999995,F2,45
HCC,4.8,0.3599999999999995,Base case,0,0.3599999999999995,F2,45
HCC,5.2,0.38999999999999946,Base case,0,0.38999999999999946,F2,45
HCC,5.6,0.38999999999999946,Base case,0,0.38999999999999946,F2,45
HCC,6,0.40999999999999936,Base case,0,0.40999999999999936,F2,45
HCC,6.4,0.4299999999999992,Base case,0,0.4299999999999992,F2,45
HCC,6.8,0.4899999999999989,Base case,0,0.4899999999999989,F2,45
HCC,7.2,0.4899999999999989,Base case,0,0.4899999999999989,F2,45
HCC,7.6,0.5199999999999987,Base case,0,0.5199999999999987,F2,45
HCC,8,0.5399999999999986,Base case,0,0.5399999999999986,F2,45
HCC,8.4,0.5599999999999984,Base case,0,0.5599999999999984,F2,45
HCC,8.8,0.5799999999999983,Base case,0,0.5799999999999983,F2,45
HCC,9.2,0.5999999999999982,Base case,0,0.5999999999999982,F2,45
HCC,9.6,0.6499999999999979,Base case,0,0.6499999999999979,F2,45
HCC,10,0.6599999999999978,Base case,0,0.6599999999999978,F2,45
Decompensation,0,0,Base case,0.1,0,F2,45
Decompensation,0.4,0.09999999999999996,Base case,0.1,0.08999999999999997,F2,45
Decompensation,0.8,0.16999999999999987,Base case,0.1,0.15299999999999991,F2,45
Decompensation,1.2,0.18999999999999984,Base case,0.1,0.17099999999999987,F2,45
Decompensation,1.6,0.2299999999999998,Base case,0.1,0.2069999999999998,F2,45
Decompensation,2,0.3499999999999996,Base case,0.1,0.3149999999999996,F2,45
Decompensation,2.4,0.43999999999999934,Base case,0.1,0.3959999999999994,F2,45
Decompensation,2.8,0.5299999999999989,Base case,0.1,0.47699999999999904,F2,45
Decompensation,3.2,0.5699999999999986,Base case,0.1,0.5129999999999988,F2,45
Decompensation,3.6,0.689999999999998,Base case,0.1,0.6209999999999981,F2,45
Decompensation,4,0.7499999999999976,Base case,0.1,0.6749999999999978,F2,45
Decompensation,4.4,0.7699999999999975,Base case,0.1,0.6929999999999977,F2,45
Decompensation,4.8,0.8299999999999971,Base case,0.1,0.7469999999999974,F2,45
Decompensation,5.2,0.9299999999999965,Base case,0.1,0.8369999999999967,F2,45
Decompensation,5.6,0.999999999999996,Base case,0.1,0.8999999999999965,F2,45
Decompensation,6,1.1099999999999954,Base case,0.1,0.9989999999999959,F2,45
Decompensation,6.4,1.2099999999999949,Base case,0.1,1.0889999999999953,F2,45
Decompensation,6.8,1.2399999999999947,Base case,0.1,1.1159999999999952,F2,45
Decompensation,7.2,1.329999999999994,Base case,0.1,1.1969999999999945,F2,45
Decompensation,7.6,1.4299999999999935,Base case,0.1,1.2869999999999941,F2,45
Decompensation,8,1.479999999999993,Base case,0.1,1.3319999999999939,F2,45
Decompensation,8.4,1.509999999999993,Base case,0.1,1.3589999999999938,F2,45
Decompensation,8.8,1.6399999999999921,Base case,0.1,1.4759999999999929,F2,45
