Cause,time,est,Risk,CVDRx,LiverRx,estRx,Stage,Age
Other,10,6.220000000000059,Base case,0,0,6.220000000000059,F3,45
Liver,10,4.880000000000025,Base case,0,0,4.880000000000025,F3,45
Other,10,6.220000000000059,Base case,0.95,0,2.3636000000000226,F3,45
Liver,10,4.880000000000025,Base case,0.95,0,4.880000000000025,F3,45
Other,10,6.220000000000059,Base case,0.9,0,2.239200000000021,F3,45
Liver,10,4.880000000000025,Base case,0.9,0,4.880000000000025,F3,45
Other,10,6.220000000000059,Base case,0.85,0,2.11480000000002,F3,45
Liver,10,4.880000000000025,Base case,0.85,0,4.880000000000025,F3,45
Other,10,6.220000000000059,Base case,1,0.1,2.488000000000024,F3,45
Liver,10,4.880000000000025,Base case,1,0.1,4.3920000000000226,F3,45
Other,10,6.220000000000059,Base case,1,0.2,2.488000000000024,F3,45
Liver,10,4.880000000000025,Base case,1,0.2,3.90400000000002,F3,45
Other,10,6.220000000000059,Base case,1,0.3,2.488000000000024,F3,45
Liver,10,4.880000000000025,Base case,1,0.3,3.416000000000017,F3,45
Other,10,6.220000000000059,Base case,1,0.4,2.488000000000024,F3,45
Liver,10,4.880000000000025,Base case,1,0.4,2.9280000000000146,F3,45
Other,10,6.220000000000059,Base case,1,0.5,2.488000000000024,F3,45
Liver,10,4.880000000000025,Base case,1,0.5,2.4400000000000124,F3,45
Other,10,6.220000000000059,Base case,1,0.6,2.488000000000024,F3,45
Liver,10,4.880000000000025,Base case,1,0.6,1.95200000000001,F3,45
Other,10,6.220000000000059,Base case,1,0.7,2.488000000000024,F3,45
Liver,10,4.880000000000025,Base case,1,0.7,1.4640000000000077,F3,45
Other,10,6.220000000000059,Base case,0.95,0.1,2.3636000000000226,F3,45
Liver,10,4.880000000000025,Base case,0.95,0.1,4.3920000000000226,F3,45
Other,10,6.220000000000059,Base case,0.95,0.2,2.3636000000000226,F3,45
Liver,10,4.880000000000025,Base case,0.95,0.2,3.90400000000002,F3,45
Other,10,6.220000000000059,Base case,0.95,0.3,2.3636000000000226,F3,45
Liver,10,4.880000000000025,Base case,0.95,0.3,3.416000000000017,F3,45
Other,10,6.220000000000059,Base case,0.95,0.4,2.3636000000000226,F3,45
Liver,10,4.880000000000025,Base case,0.95,0.4,2.9280000000000146,F3,45
Other,10,6.220000000000059,Base case,0.95,0.5,2.3636000000000226,F3,45
Liver,10,4.880000000000025,Base case,0.95,0.5,2.4400000000000124,F3,45
Other,10,6.220000000000059,Base case,0.95,0.6,2.3636000000000226,F3,45
