Cause,time,est,Risk,CVDRx,LiverRx,estRx,Stage,Age
Other,0,0,Base case,0,0,0,F4,45
Other,0.4,0.1299999999999999,Base case,0,0,0.1299999999999999,F4,45
Other,0.8,0.3699999999999995,Base case,0,0,0.3699999999999995,F4,45
Other,1.2,0.48999999999999905,Base case,0,0,0.48999999999999905,F4,45
Other,1.6,0.6599999999999981,Base case,0,0,0.6599999999999981,F4,45
Other,2,0.8599999999999969,Base case,0,0,0.8599999999999969,F4,45
Other,2.4,1.0499999999999958,Base case,0,0,1.0499999999999958,F4,45
Other,2.8,1.2499999999999944,Base case,0,0,1.2499999999999944,F4,45
Other,3.2,1.489999999999993,Base case,0,0,1.489999999999993,F4,45
Other,3.6,1.7299999999999915,Base case,0,0,1.7299999999999915,F4,45
Other,4,1.9399999999999904,Base case,0,0,1.9399999999999904,F4,45
Other,4.4,2.2299999999999884,Base case,0,0,2.2299999999999884,F4,45
Other,4.8,2.5699999999999865,Base case,0,0,2.5699999999999865,F4,45
Other,5.2,2.7699999999999854,Base case,0,0,2.7699999999999854,F4,45
Other,5.6,2.959999999999984,Base case,0,0,2.959999999999984,F4,45
Other,6,3.219999999999986,Base case,0,0,3.219999999999986,F4,45
Other,6.4,3.5199999999999925,Base case,0,0,3.5199999999999925,F4,45
Other,6.8,3.8400000000000003,Base case,0,0,3.8400000000000003,F4,45
Other,7.2,4.220000000000008,Base case,0,0,4.220000000000008,F4,45
Other,7.6,4.490000000000015,Base case,0,0,4.490000000000015,F4,45
Other,8,4.790000000000021,Base case,0,0,4.790000000000021,F4,45
Other,8.4,5.180000000000031,Base case,0,0,5.180000000000031,F4,45
Other,8.8,5.450000000000037,Base case,0,0,5.450000000000037,F4,45
Other,9.2,5.870000000000045,Base case,0,0,5.870000000000045,F4,45
Other,9.6,6.260000000000051,Base case,0,0,6.260000000000051,F4,45
Other,10,6.660000000000061,Base case,0,0,6.660000000000061,F4,45
Liver,0,0,Base case,0,0,0,F4,45
Liver,0.4,0.9599999999999997,Base case,0,0,0.9599999999999997,F4,45
Liver,0.8,1.719999999999998,Base case,0,0,1.719999999999998,F4,45
Liver,1.2,2.3499999999999943,Base case,0,0,2.3499999999999943,F4,45
Liver,1.6,3.1399999999999895,Base case,0,0,3.1399999999999895,F4,45
Liver,2,3.870000000000001,Base case,0,0,3.870000000000001,F4,45
Liver,2.4,4.670000000000013,Base case,0,0,4.670000000000013,F4,45
Liver,2.8,5.390000000000026,Base case,0,0,5.390000000000026,F4,45
Liver,3.2,6.050000000000036,Base case,0,0,6.050000000000036,F4,45
Liver,3.6,6.790000000000053,Base case,0,0,6.790000000000053,F4,45
Liver,4,7.3700000000000685,Base case,0,0,7.3700000000000685,F4,45
Liver,4.4,8.020000000000083,Base case,0,0,8.020000000000083,F4,45
Liver,4.8,8.780000000000099,Base case,0,0,8.780000000000099,F4,45
Liver,5.2,9.510000000000117,Base case,0,0,9.510000000000117,F4,45
Liver,5.6,10.190000000000136,Base case,0,0,10.190000000000136,F4,45
Liver,6,10.910000000000151,Base case,0,0,10.910000000000151,F4,45
Liver,6.4,11.600000000000167,Base case,0,0,11.600000000000167,F4,45
Liver,6.8,12.280000000000184,Base case,0,0,12.280000000000184,F4,45
Liver,7.2,12.940000000000168,Base case,0,0,12.940000000000168,F4,45
Liver,7.6,13.640000000000121,Base case,0,0,13.640000000000121,F4,45
Liver,8,14.31000000000007,Base case,0,0,14.31000000000007,F4,45
Liver,8.4,14.900000000000023,Base case,0,0,14.900000000000023,F4,45
Liver,8.8,15.519999999999978,Base case,0,0,15.519999999999978,F4,45
Liver,9.2,16.08999999999994,Base case,0,0,16.08999999999994,F4,45
Liver,9.6,16.66999999999991,Base case,0,0,16.66999999999991,F4,45
Liver,10,17.319999999999872,Base case,0,0,17.319999999999872,F4,45
Other,0,0,Base case,0.95,0,0,F4,45
Other,0.4,0.1299999999999999,Base case,0.95,0,0.037049999999999965,F4,45
